time	V(c1)	V(n001)	V(in)	V(s)	V(c2)	V(n002)	Ic(Q1)	Ib(Q1)	Ie(Q1)	Ic(Q2)	Ib(Q2)	Ie(Q2)	I(D1)	I(L1)	I(L2)	I(R1)	I(R2)	I(V1)	I(V2)
0.000000000000000e+00	5.000000e+00	5.003333e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003333e-11	5.015247e-12	-5.003333e-12	-1.050000e-14	5.015247e-12	-5.003333e-12	-1.050000e-14	0.000000e+00	5.013394e-12	4.914629e-12	-5.003333e-12	-5.003333e-12	1.000667e-11	-9.928045e-12
1.006310719994777e-03	5.000000e+00	5.003094e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002479e-11	5.013027e-12	-5.003036e-12	-1.050043e-14	5.013027e-12	-5.002668e-12	-1.049950e-14	1.229172e-30	5.014575e-12	4.955245e-12	-5.003094e-12	-5.002479e-12	1.000570e-11	-1.000300e-11
2.030310719994708e-03	5.000000e+00	5.003461e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001288e-11	5.012287e-12	-5.003603e-12	-1.049989e-14	5.013027e-12	-5.001818e-12	-1.050063e-14	-9.867479e-14	5.014083e-12	4.908927e-12	-5.003461e-12	-5.001288e-12	1.000542e-11	-9.998471e-12
3.054310719994844e-03	5.000000e+00	5.003025e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.007784e-11	5.013767e-12	-5.003033e-12	-1.049968e-14	5.018948e-12	-5.008011e-12	-1.050377e-14	1.973496e-13	5.014089e-12	5.200148e-12	-5.003025e-12	-5.007784e-12	1.001104e-11	-9.980954e-12
4.078310719994979e-03	5.000000e+00	5.003605e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.006410e-11	5.014507e-12	-5.003661e-12	-1.049956e-14	5.016727e-12	-5.006425e-12	-1.050088e-14	9.867479e-14	5.014707e-12	5.120075e-12	-5.003605e-12	-5.006410e-12	1.001008e-11	-9.980722e-12
5.102310719995115e-03	5.000000e+00	5.003310e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003615e-11	5.012287e-12	-5.003311e-12	-1.050002e-14	5.014507e-12	-5.003760e-12	-1.049968e-14	2.225641e-42	5.013782e-12	5.009881e-12	-5.003310e-12	-5.003615e-12	1.000707e-11	-1.000239e-11
6.126310719995251e-03	5.000000e+00	5.003306e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003229e-11	5.012287e-12	-5.003303e-12	-1.049984e-14	5.013767e-12	-5.003640e-12	-1.050295e-14	2.078111e-26	5.013779e-12	5.020867e-12	-5.003307e-12	-5.003229e-12	1.000694e-11	-1.001921e-11
7.150310719995387e-03	5.000000e+00	5.003288e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005328e-11	5.012287e-12	-5.003284e-12	-1.049967e-14	5.017468e-12	-5.005949e-12	-1.049852e-14	1.315664e-13	5.013766e-12	5.152199e-12	-5.003289e-12	-5.005328e-12	1.000923e-11	-1.003571e-11
8.174310719995210e-03	5.000000e+00	5.003417e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004589e-11	5.013027e-12	-5.003638e-12	-1.049980e-14	5.014507e-12	-5.004547e-12	-1.049931e-14	9.867479e-14	5.014148e-12	5.071636e-12	-5.003417e-12	-5.004589e-12	1.000819e-11	-1.002536e-11
9.198310719994458e-03	5.000000e+00	5.003244e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.006119e-11	5.013027e-12	-5.003335e-12	-1.050044e-14	5.016728e-12	-5.006244e-12	-1.049870e-14	1.315664e-13	5.013772e-12	5.102237e-12	-5.003243e-12	-5.006120e-12	1.000958e-11	-9.971070e-12
1.022231071999371e-02	5.000000e+00	5.003360e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.006121e-11	5.012287e-12	-5.003357e-12	-1.049986e-14	5.016727e-12	-5.006874e-12	-1.050095e-14	1.315664e-13	5.013834e-12	5.145457e-12	-5.003360e-12	-5.006121e-12	1.001023e-11	-9.982830e-12
1.124631071999295e-02	5.000000e+00	5.003662e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003951e-11	5.013767e-12	-5.003804e-12	-1.050043e-14	5.013767e-12	-5.003395e-12	-1.049979e-14	1.492733e-29	5.014269e-12	4.974836e-12	-5.003662e-12	-5.003951e-12	1.000720e-11	-9.986048e-12
1.227031071999220e-02	5.000000e+00	5.003199e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002049e-11	5.013027e-12	-5.003197e-12	-1.049943e-14	5.011547e-12	-5.002106e-12	-1.050031e-14	-9.867479e-14	5.014265e-12	4.922460e-12	-5.003198e-12	-5.002049e-12	1.000530e-11	-9.997884e-12
1.329431071999145e-02	5.000000e+00	5.003296e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003384e-11	5.012287e-12	-5.003291e-12	-1.049970e-14	5.015247e-12	-5.004422e-12	-1.050211e-14	6.578319e-14	5.013772e-12	5.053706e-12	-5.003296e-12	-5.003384e-12	1.000771e-11	-1.001313e-11
1.431831071999070e-02	5.000000e+00	5.003358e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.995394e-11	5.012287e-12	-5.003361e-12	-1.050000e-14	5.006366e-12	-4.995298e-12	-1.049889e-14	-3.618076e-13	5.013837e-12	4.591974e-12	-5.003358e-12	-4.995394e-12	9.998660e-12	-1.000622e-11
1.534231071998994e-02	5.000000e+00	5.003275e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004610e-11	5.014507e-12	-5.003212e-12	-1.050055e-14	5.015248e-12	-5.005087e-12	-1.050129e-14	-4.519700e-30	5.014750e-12	5.011925e-12	-5.003274e-12	-5.004610e-12	1.000830e-11	-9.939207e-12
