vs	V(nout)	V(n002)	V(n003)	V(n004)	V(n001)	I(D1)	I(D2)	I(D3)	I(D4)	I(Rs)	I(Vs)
5.000000000000000e+00	2.706362e+00	2.029772e+00	1.353181e+00	6.765906e-01	5.000000e+00	2.293639e-03	2.293639e-03	2.293639e-03	2.293639e-03	2.293638e-03	-2.293639e-03
5.100000000000000e+00	2.710677e+00	2.033008e+00	1.355339e+00	6.776693e-01	5.100000e+00	2.389407e-03	2.389407e-03	2.389407e-03	2.389407e-03	2.389323e-03	-2.389407e-03
5.199999999999999e+00	2.714666e+00	2.036000e+00	1.357333e+00	6.786666e-01	5.200000e+00	2.485334e-03	2.485334e-03	2.485334e-03	2.485334e-03	2.485334e-03	-2.485334e-03
5.299999999999999e+00	2.718590e+00	2.038942e+00	1.359295e+00	6.796474e-01	5.300000e+00	2.581410e-03	2.581410e-03	2.581410e-03	2.581410e-03	2.581410e-03	-2.581410e-03
5.399999999999999e+00	2.722376e+00	2.041782e+00	1.361188e+00	6.805940e-01	5.400000e+00	2.677624e-03	2.677624e-03	2.677624e-03	2.677624e-03	2.677624e-03	-2.677624e-03
5.499999999999998e+00	2.726033e+00	2.044525e+00	1.363017e+00	6.815083e-01	5.500000e+00	2.773967e-03	2.773967e-03	2.773967e-03	2.773967e-03	2.773967e-03	-2.773967e-03
5.599999999999998e+00	2.729570e+00	2.047177e+00	1.364785e+00	6.823924e-01	5.600000e+00	2.870430e-03	2.870430e-03	2.870430e-03	2.870430e-03	2.870430e-03	-2.870430e-03
5.699999999999998e+00	2.732993e+00	2.049745e+00	1.366497e+00	6.832483e-01	5.700000e+00	2.967007e-03	2.967007e-03	2.967007e-03	2.967007e-03	2.967007e-03	-2.967007e-03
5.799999999999997e+00	2.736311e+00	2.052233e+00	1.368155e+00	6.840777e-01	5.800000e+00	3.063689e-03	3.063689e-03	3.063689e-03	3.063689e-03	3.063689e-03	-3.063689e-03
5.899999999999997e+00	2.739529e+00	2.054646e+00	1.369764e+00	6.848822e-01	5.900000e+00	3.160471e-03	3.160471e-03	3.160471e-03	3.160471e-03	3.160471e-03	-3.160471e-03
5.999999999999996e+00	2.742652e+00	2.056989e+00	1.371326e+00	6.856631e-01	6.000000e+00	3.257348e-03	3.257348e-03	3.257348e-03	3.257348e-03	3.257348e-03	-3.257348e-03
6.099999999999996e+00	2.745687e+00	2.059265e+00	1.372844e+00	6.864218e-01	6.100000e+00	3.354313e-03	3.354313e-03	3.354313e-03	3.354313e-03	3.354313e-03	-3.354313e-03
6.199999999999996e+00	2.748638e+00	2.061479e+00	1.374319e+00	6.871595e-01	6.200000e+00	3.451362e-03	3.451362e-03	3.451362e-03	3.451362e-03	3.451362e-03	-3.451362e-03
6.299999999999995e+00	2.751509e+00	2.063632e+00	1.375755e+00	6.878774e-01	6.300000e+00	3.548491e-03	3.548491e-03	3.548491e-03	3.548491e-03	3.548491e-03	-3.548491e-03
