vs	V(nout)	V(n002)	V(n003)	V(n004)	V(n001)	I(D1)	I(D2)	I(D3)	I(D4)	I(Rs)	I(Rl)	I(Vs)
5.000000000000000e+00	2.424663e+00	1.818497e+00	1.212332e+00	6.061658e-01	5.000000e+00	1.506737e-04	1.506737e-04	1.506737e-04	1.506737e-04	2.575337e-03	2.424663e-03	-2.575337e-03
5.100000000000000e+00	2.451945e+00	1.838959e+00	1.225972e+00	6.129861e-01	5.100000e+00	1.961237e-04	1.961237e-04	1.961237e-04	1.961237e-04	2.648055e-03	2.451945e-03	-2.648062e-03
5.199999999999999e+00	2.476145e+00	1.857108e+00	1.238072e+00	6.190361e-01	5.200000e+00	2.477619e-04	2.477619e-04	2.477619e-04	2.477619e-04	2.723855e-03	2.476145e-03	-2.723881e-03
5.299999999999999e+00	2.497595e+00	1.873196e+00	1.248798e+00	6.243988e-01	5.300000e+00	3.048540e-04	3.048540e-04	3.048540e-04	3.048540e-04	2.802405e-03	2.497595e-03	-2.802427e-03
5.399999999999999e+00	2.516689e+00	1.887516e+00	1.258344e+00	6.291721e-01	5.400000e+00	3.666576e-04	3.666576e-04	3.666576e-04	3.666576e-04	2.883311e-03	2.516689e-03	-2.883329e-03
5.499999999999998e+00	2.533769e+00	1.900327e+00	1.266884e+00	6.334422e-01	5.500000e+00	4.324892e-04	4.324892e-04	4.324892e-04	4.324892e-04	2.966231e-03	2.533769e-03	-2.966244e-03
5.599999999999998e+00	2.549134e+00	1.911851e+00	1.274567e+00	6.372836e-01	5.600000e+00	5.017517e-04	5.017517e-04	5.017517e-04	5.017517e-04	3.050866e-03	2.549134e-03	-3.050876e-03
5.699999999999998e+00	2.563039e+00	1.922279e+00	1.281519e+00	6.407596e-01	5.700000e+00	5.739382e-04	5.739382e-04	5.739382e-04	5.739382e-04	3.136961e-03	2.563039e-03	-3.136969e-03
5.799999999999997e+00	2.575693e+00	1.931770e+00	1.287847e+00	6.439233e-01	5.800000e+00	6.486251e-04	6.486251e-04	6.486251e-04	6.486251e-04	3.224307e-03	2.575693e-03	-3.224313e-03
5.899999999999997e+00	2.587274e+00	1.940456e+00	1.293637e+00	6.468186e-01	5.900000e+00	7.254602e-04	7.254602e-04	7.254602e-04	7.254602e-04	3.312726e-03	2.587274e-03	-3.312730e-03
5.999999999999996e+00	2.597928e+00	1.948446e+00	1.298964e+00	6.494819e-01	6.000000e+00	8.041514e-04	8.041514e-04	8.041514e-04	8.041514e-04	3.402072e-03	2.597928e-03	-3.402076e-03
6.099999999999996e+00	2.607775e+00	1.955831e+00	1.303887e+00	6.519437e-01	6.100000e+00	8.844557e-04	8.844557e-04	8.844557e-04	8.844557e-04	3.492225e-03	2.607775e-03	-3.492228e-03
6.199999999999996e+00	2.616917e+00	1.962687e+00	1.308458e+00	6.542292e-01	6.200000e+00	9.661706e-04	9.661706e-04	9.661706e-04	9.661706e-04	3.583083e-03	2.616917e-03	-3.583085e-03
6.299999999999995e+00	2.625438e+00	1.969079e+00	1.312719e+00	6.563596e-01	6.300000e+00	1.049126e-03	1.049126e-03	1.049126e-03	1.049126e-03	3.674562e-03	2.625438e-03	-3.674563e-03
6.399999999999995e+00	2.633412e+00	1.975059e+00	1.316706e+00	6.583529e-01	6.400000e+00	1.133179e-03	1.133179e-03	1.133179e-03	1.133179e-03	3.766588e-03	2.633412e-03	-3.766590e-03
6.499999999999995e+00	2.640897e+00	1.980673e+00	1.320449e+00	6.602243e-01	6.500000e+00	1.218208e-03	1.218208e-03	1.218208e-03	1.218208e-03	3.859103e-03	2.640897e-03	-3.859104e-03
6.599999999999994e+00	2.647947e+00	1.985960e+00	1.323973e+00	6.619866e-01	6.600000e+00	1.304108e-03	1.304108e-03	1.304108e-03	1.304108e-03	3.952053e-03	2.647947e-03	-3.952054e-03
6.699999999999994e+00	2.654604e+00	1.990953e+00	1.327302e+00	6.636511e-01	6.700000e+00	1.390792e-03	1.390792e-03	1.390792e-03	1.390792e-03	4.045396e-03	2.654605e-03	-4.045396e-03
6.799999999999994e+00	2.660909e+00	1.995682e+00	1.330455e+00	6.652273e-01	6.800000e+00	1.478183e-03	1.478183e-03	1.478183e-03	1.478183e-03	4.139091e-03	2.660909e-03	-4.139091e-03
6.899999999999993e+00	2.666894e+00	2.000170e+00	1.333447e+00	6.667235e-01	6.900000e+00	1.566213e-03	1.566213e-03	1.566213e-03	1.566213e-03	4.233106e-03	2.666894e-03	-4.233107e-03
6.999999999999993e+00	2.672588e+00	2.004441e+00	1.336294e+00	6.681470e-01	7.000000e+00	1.654825e-03	1.654825e-03	1.654825e-03	1.654825e-03	4.327412e-03	2.672588e-03	-4.327413e-03
7.099999999999993e+00	2.678016e+00	2.008512e+00	1.339008e+00	6.695040e-01	7.100000e+00	1.743968e-03	1.743968e-03	1.743968e-03	1.743968e-03	4.421984e-03	2.678016e-03	-4.421984e-03
7.199999999999992e+00	2.683201e+00	2.012401e+00	1.341601e+00	6.708003e-01	7.200000e+00	1.833598e-03	1.833598e-03	1.833598e-03	1.833598e-03	4.516799e-03	2.683201e-03	-4.516799e-03
7.299999999999992e+00	2.688163e+00	2.016122e+00	1.344081e+00	6.720407e-01	7.300000e+00	1.923675e-03	1.923675e-03	1.923675e-03	1.923675e-03	4.611837e-03	2.688163e-03	-4.611838e-03
7.399999999999991e+00	2.692918e+00	2.019689e+00	1.346459e+00	6.732296e-01	7.400000e+00	2.014164e-03	2.014164e-03	2.014164e-03	2.014164e-03	4.707082e-03	2.692918e-03	-4.707082e-03
7.499999999999991e+00	2.697484e+00	2.023113e+00	1.348742e+00	6.743709e-01	7.500000e+00	2.105033e-03	2.105033e-03	2.105033e-03	2.105033e-03	4.802516e-03	2.697484e-03	-4.802516e-03
7.599999999999991e+00	2.701873e+00	2.026405e+00	1.350936e+00	6.754682e-01	7.600000e+00	2.196255e-03	2.196255e-03	2.196255e-03	2.196255e-03	4.898127e-03	2.701873e-03	-4.898128e-03
7.699999999999990e+00	2.706098e+00	2.029573e+00	1.353049e+00	6.765245e-01	7.700000e+00	2.287804e-03	2.287804e-03	2.287804e-03	2.287804e-03	4.993902e-03	2.706098e-03	-4.993902e-03
7.799999999999990e+00	2.710171e+00	2.032628e+00	1.355085e+00	6.775426e-01	7.800000e+00	2.379659e-03	2.379659e-03	2.379659e-03	2.379659e-03	5.089829e-03	2.710171e-03	-5.089830e-03
7.899999999999990e+00	2.714101e+00	2.035576e+00	1.357050e+00	6.785252e-01	7.900000e+00	2.471799e-03	2.471799e-03	2.471799e-03	2.471799e-03	5.185899e-03	2.714101e-03	-5.185899e-03
7.999999999999989e+00	2.717898e+00	2.038424e+00	1.358949e+00	6.794745e-01	8.000000e+00	2.564204e-03	2.564204e-03	2.564204e-03	2.564204e-03	5.282102e-03	2.717898e-03	-5.282102e-03
8.099999999999989e+00	2.721570e+00	2.041178e+00	1.360785e+00	6.803926e-01	8.100000e+00	2.656859e-03	2.656859e-03	2.656859e-03	2.656859e-03	5.378429e-03	2.721570e-03	-5.378430e-03
8.199999999999989e+00	2.725126e+00	2.043844e+00	1.362563e+00	6.812814e-01	8.200000e+00	2.749748e-03	2.749748e-03	2.749748e-03	2.749748e-03	5.474874e-03	2.725126e-03	-5.474874e-03
8.299999999999988e+00	2.728571e+00	2.046428e+00	1.364286e+00	6.821428e-01	8.300000e+00	2.842858e-03	2.842858e-03	2.842858e-03	2.842858e-03	5.571429e-03	2.728571e-03	-5.571429e-03
8.399999999999988e+00	2.731913e+00	2.048934e+00	1.365956e+00	6.829782e-01	8.400000e+00	2.936175e-03	2.936175e-03	2.936175e-03	2.936175e-03	5.668087e-03	2.731913e-03	-5.668087e-03
8.499999999999988e+00	2.735156e+00	2.051367e+00	1.367578e+00	6.837891e-01	8.500000e+00	3.029688e-03	3.029688e-03	3.029688e-03	3.029688e-03	5.764844e-03	2.735156e-03	-5.764844e-03
8.599999999999987e+00	2.738307e+00	2.053730e+00	1.369154e+00	6.845769e-01	8.600000e+00	3.123385e-03	3.123385e-03	3.123385e-03	3.123385e-03	5.861693e-03	2.738307e-03	-5.861693e-03
8.699999999999987e+00	2.741371e+00	2.056028e+00	1.370686e+00	6.853428e-01	8.700000e+00	3.217258e-03	3.217258e-03	3.217258e-03	3.217258e-03	5.958629e-03	2.741371e-03	-5.958629e-03
8.799999999999986e+00	2.744352e+00	2.058264e+00	1.372176e+00	6.860880e-01	8.800000e+00	3.311296e-03	3.311296e-03	3.311296e-03	3.311296e-03	6.055648e-03	2.744352e-03	-6.055648e-03
8.899999999999986e+00	2.747254e+00	2.060440e+00	1.373627e+00	6.868135e-01	8.900000e+00	3.405493e-03	3.405493e-03	3.405493e-03	3.405493e-03	6.152746e-03	2.747254e-03	-6.152746e-03
8.999999999999986e+00	2.750081e+00	2.062561e+00	1.375041e+00	6.875203e-01	9.000000e+00	3.499838e-03	3.499838e-03	3.499838e-03	3.499838e-03	6.249919e-03	2.750081e-03	-6.249919e-03
9.099999999999985e+00	2.752837e+00	2.064628e+00	1.376419e+00	6.882093e-01	9.100000e+00	3.594326e-03	3.594326e-03	3.594326e-03	3.594326e-03	6.347163e-03	2.752837e-03	-6.347163e-03
9.199999999999985e+00	2.755526e+00	2.066644e+00	1.377763e+00	6.888814e-01	9.200000e+00	3.688949e-03	3.688949e-03	3.688949e-03	3.688949e-03	6.444474e-03	2.755526e-03	-6.444474e-03
9.299999999999985e+00	2.758149e+00	2.068612e+00	1.379075e+00	6.895373e-01	9.300000e+00	3.783701e-03	3.783701e-03	3.783701e-03	3.783701e-03	6.541851e-03	2.758150e-03	-6.541851e-03
9.399999999999984e+00	2.760712e+00	2.070534e+00	1.380356e+00	6.901779e-01	9.400000e+00	3.878577e-03	3.878577e-03	3.878577e-03	3.878577e-03	6.639288e-03	2.760712e-03	-6.639288e-03
9.499999999999984e+00	2.763215e+00	2.072411e+00	1.381608e+00	6.908038e-01	9.500000e+00	3.973570e-03	3.973570e-03	3.973570e-03	3.973570e-03	6.736785e-03	2.763215e-03	-6.736785e-03
9.599999999999984e+00	2.765662e+00	2.074247e+00	1.382831e+00	6.914155e-01	9.600000e+00	4.068675e-03	4.068675e-03	4.068675e-03	4.068675e-03	6.834338e-03	2.765662e-03	-6.834338e-03
9.699999999999983e+00	2.768055e+00	2.076041e+00	1.384028e+00	6.920139e-01	9.700000e+00	4.163889e-03	4.163889e-03	4.163889e-03	4.163889e-03	6.931945e-03	2.768056e-03	-6.931945e-03
9.799999999999983e+00	2.770397e+00	2.077798e+00	1.385198e+00	6.925992e-01	9.800000e+00	4.259206e-03	4.259206e-03	4.259206e-03	4.259206e-03	7.029603e-03	2.770397e-03	-7.029603e-03
9.899999999999983e+00	2.772689e+00	2.079517e+00	1.386345e+00	6.931723e-01	9.900000e+00	4.354622e-03	4.354622e-03	4.354622e-03	4.354622e-03	7.127311e-03	2.772689e-03	-7.127311e-03
9.999999999999982e+00	2.774934e+00	2.081200e+00	1.387467e+00	6.937335e-01	1.000000e+01	4.450132e-03	4.450132e-03	4.450132e-03	4.450132e-03	7.225066e-03	2.774934e-03	-7.225066e-03
1.009999999999998e+01	2.777133e+00	2.082850e+00	1.388566e+00	6.942832e-01	1.010000e+01	4.545734e-03	4.545734e-03	4.545734e-03	4.545734e-03	7.322867e-03	2.777133e-03	-7.322867e-03
1.019999999999998e+01	2.779288e+00	2.084466e+00	1.389644e+00	6.948221e-01	1.020000e+01	4.641423e-03	4.641423e-03	4.641423e-03	4.641423e-03	7.420712e-03	2.779288e-03	-7.420712e-03
1.029999999999998e+01	2.781401e+00	2.086051e+00	1.390701e+00	6.953503e-01	1.030000e+01	4.737197e-03	4.737197e-03	4.737197e-03	4.737197e-03	7.518599e-03	2.781401e-03	-7.518599e-03
1.039999999999998e+01	2.783474e+00	2.087605e+00	1.391737e+00	6.958685e-01	1.040000e+01	4.833052e-03	4.833052e-03	4.833052e-03	4.833052e-03	7.616526e-03	2.783474e-03	-7.616526e-03
1.049999999999998e+01	2.785507e+00	2.089131e+00	1.392754e+00	6.963769e-01	1.050000e+01	4.928985e-03	4.928985e-03	4.928985e-03	4.928985e-03	7.714493e-03	2.785507e-03	-7.714493e-03
1.059999999999998e+01	2.787503e+00	2.090627e+00	1.393752e+00	6.968758e-01	1.060000e+01	5.024993e-03	5.024993e-03	5.024993e-03	5.024993e-03	7.812497e-03	2.787503e-03	-7.812497e-03
1.069999999999998e+01	2.789463e+00	2.092097e+00	1.394731e+00	6.973657e-01	1.070000e+01	5.121075e-03	5.121075e-03	5.121075e-03	5.121075e-03	7.910538e-03	2.789463e-03	-7.910538e-03
1.079999999999998e+01	2.791387e+00	2.093540e+00	1.395694e+00	6.978468e-01	1.080000e+01	5.217225e-03	5.217225e-03	5.217225e-03	5.217225e-03	8.008612e-03	2.791387e-03	-8.008612e-03
1.089999999999998e+01	2.793278e+00	2.094959e+00	1.396639e+00	6.983195e-01	1.090000e+01	5.313444e-03	5.313444e-03	5.313444e-03	5.313444e-03	8.106722e-03	2.793278e-03	-8.106722e-03
1.099999999999998e+01	2.795136e+00	2.096352e+00	1.397568e+00	6.987840e-01	1.100000e+01	5.409728e-03	5.409728e-03	5.409728e-03	5.409728e-03	8.204864e-03	2.795136e-03	-8.204864e-03
1.109999999999998e+01	2.796962e+00	2.097722e+00	1.398481e+00	6.992406e-01	1.110000e+01	5.506075e-03	5.506075e-03	5.506075e-03	5.506075e-03	8.303038e-03	2.796962e-03	-8.303038e-03
1.119999999999998e+01	2.798758e+00	2.099069e+00	1.399379e+00	6.996896e-01	1.120000e+01	5.602484e-03	5.602484e-03	5.602484e-03	5.602484e-03	8.401242e-03	2.798758e-03	-8.401242e-03
1.129999999999998e+01	2.800524e+00	2.100393e+00	1.400262e+00	7.001311e-01	1.130000e+01	5.698951e-03	5.698951e-03	5.698951e-03	5.698951e-03	8.499475e-03	2.800524e-03	-8.499475e-03
1.139999999999998e+01	2.802262e+00	2.101696e+00	1.401131e+00	7.005655e-01	1.140000e+01	5.795476e-03	5.795476e-03	5.795476e-03	5.795476e-03	8.597738e-03	2.802262e-03	-8.597738e-03
1.149999999999998e+01	2.803972e+00	2.102979e+00	1.401986e+00	7.009930e-01	1.150000e+01	5.892056e-03	5.892056e-03	5.892056e-03	5.892056e-03	8.696028e-03	2.803972e-03	-8.696028e-03
1.159999999999998e+01	2.805655e+00	2.104241e+00	1.402828e+00	7.014138e-01	1.160000e+01	5.988690e-03	5.988690e-03	5.988690e-03	5.988690e-03	8.794345e-03	2.805655e-03	-8.794345e-03
1.169999999999998e+01	2.807312e+00	2.105484e+00	1.403656e+00	7.018280e-01	1.170000e+01	6.085376e-03	6.085376e-03	6.085376e-03	6.085376e-03	8.892688e-03	2.807312e-03	-8.892688e-03
1.179999999999998e+01	2.808944e+00	2.106708e+00	1.404472e+00	7.022359e-01	1.180000e+01	6.182112e-03	6.182112e-03	6.182112e-03	6.182112e-03	8.991056e-03	2.808944e-03	-8.991056e-03
1.189999999999998e+01	2.810551e+00	2.107913e+00	1.405275e+00	7.026377e-01	1.190000e+01	6.278898e-03	6.278898e-03	6.278898e-03	6.278898e-03	9.089449e-03	2.810551e-03	-9.089449e-03
1.199999999999998e+01	2.812135e+00	2.109101e+00	1.406067e+00	7.030336e-01	1.200000e+01	6.375731e-03	6.375731e-03	6.375731e-03	6.375731e-03	9.187866e-03	2.812134e-03	-9.187866e-03
1.209999999999997e+01	2.813695e+00	2.110271e+00	1.406847e+00	7.034237e-01	1.210000e+01	6.472611e-03	6.472611e-03	6.472611e-03	6.472611e-03	9.286305e-03	2.813695e-03	-9.286305e-03
1.219999999999997e+01	2.815233e+00	2.111424e+00	1.407616e+00	7.038081e-01	1.220000e+01	6.569535e-03	6.569535e-03	6.569535e-03	6.569535e-03	9.384767e-03	2.815232e-03	-9.384767e-03
1.229999999999997e+01	2.816748e+00	2.112561e+00	1.408374e+00	7.041871e-01	1.230000e+01	6.666503e-03	6.666503e-03	6.666503e-03	6.666503e-03	9.483252e-03	2.816748e-03	-9.483252e-03
1.239999999999997e+01	2.818243e+00	2.113682e+00	1.409122e+00	7.045608e-01	1.240000e+01	6.763514e-03	6.763514e-03	6.763514e-03	6.763514e-03	9.581757e-03	2.818243e-03	-9.581757e-03
1.249999999999997e+01	2.819717e+00	2.114788e+00	1.409859e+00	7.049293e-01	1.250000e+01	6.860566e-03	6.860566e-03	6.860566e-03	6.860566e-03	9.680283e-03	2.819717e-03	-9.680283e-03
1.259999999999997e+01	2.821171e+00	2.115878e+00	1.410586e+00	7.052928e-01	1.260000e+01	6.957658e-03	6.957658e-03	6.957658e-03	6.957658e-03	9.778829e-03	2.821171e-03	-9.778829e-03
1.269999999999997e+01	2.822605e+00	2.116954e+00	1.411303e+00	7.056513e-01	1.270000e+01	7.054789e-03	7.054789e-03	7.054789e-03	7.054789e-03	9.877395e-03	2.822605e-03	-9.877395e-03
1.279999999999997e+01	2.824021e+00	2.118016e+00	1.412010e+00	7.060052e-01	1.280000e+01	7.151959e-03	7.151959e-03	7.151959e-03	7.151959e-03	9.975979e-03	2.824021e-03	-9.975979e-03
1.289999999999997e+01	2.825417e+00	2.119063e+00	1.412709e+00	7.063543e-01	1.290000e+01	7.249165e-03	7.249165e-03	7.249165e-03	7.249165e-03	1.007458e-02	2.825417e-03	-1.007458e-02
1.299999999999997e+01	2.826796e+00	2.120097e+00	1.413398e+00	7.066990e-01	1.300000e+01	7.346408e-03	7.346408e-03	7.346408e-03	7.346408e-03	1.017320e-02	2.826796e-03	-1.017320e-02
1.309999999999997e+01	2.828157e+00	2.121118e+00	1.414078e+00	7.070392e-01	1.310000e+01	7.443686e-03	7.443686e-03	7.443686e-03	7.443686e-03	1.027184e-02	2.828157e-03	-1.027184e-02
1.319999999999997e+01	2.829501e+00	2.122126e+00	1.414750e+00	7.073752e-01	1.320000e+01	7.540999e-03	7.540999e-03	7.540999e-03	7.540999e-03	1.037050e-02	2.829501e-03	-1.037050e-02
1.329999999999997e+01	2.830828e+00	2.123121e+00	1.415414e+00	7.077069e-01	1.330000e+01	7.638345e-03	7.638345e-03	7.638345e-03	7.638345e-03	1.046917e-02	2.830828e-03	-1.046917e-02
1.339999999999997e+01	2.832138e+00	2.124104e+00	1.416069e+00	7.080346e-01	1.340000e+01	7.735723e-03	7.735723e-03	7.735723e-03	7.735723e-03	1.056786e-02	2.832138e-03	-1.056786e-02
1.349999999999997e+01	2.833433e+00	2.125075e+00	1.416717e+00	7.083583e-01	1.350000e+01	7.833134e-03	7.833134e-03	7.833134e-03	7.833134e-03	1.066657e-02	2.833433e-03	-1.066657e-02
1.359999999999997e+01	2.834712e+00	2.126034e+00	1.417356e+00	7.086780e-01	1.360000e+01	7.930576e-03	7.930576e-03	7.930576e-03	7.930576e-03	1.076529e-02	2.834712e-03	-1.076529e-02
1.369999999999997e+01	2.835976e+00	2.126982e+00	1.417988e+00	7.089940e-01	1.370000e+01	8.028048e-03	8.028048e-03	8.028048e-03	8.028048e-03	1.086402e-02	2.835976e-03	-1.086402e-02
1.379999999999997e+01	2.837225e+00	2.127919e+00	1.418612e+00	7.093062e-01	1.380000e+01	8.125550e-03	8.125550e-03	8.125550e-03	8.125550e-03	1.096277e-02	2.837225e-03	-1.096277e-02
1.389999999999997e+01	2.838459e+00	2.128844e+00	1.419230e+00	7.096148e-01	1.390000e+01	8.223081e-03	8.223081e-03	8.223081e-03	8.223081e-03	1.106154e-02	2.838459e-03	-1.106154e-02
1.399999999999997e+01	2.839679e+00	2.129760e+00	1.419840e+00	7.099199e-01	1.400000e+01	8.320641e-03	8.320641e-03	8.320641e-03	8.320641e-03	1.116032e-02	2.839680e-03	-1.116032e-02
1.409999999999997e+01	2.840886e+00	2.130664e+00	1.420443e+00	7.102215e-01	1.410000e+01	8.418228e-03	8.418228e-03	8.418228e-03	8.418228e-03	1.125911e-02	2.840886e-03	-1.125911e-02
1.419999999999997e+01	2.842079e+00	2.131559e+00	1.421039e+00	7.105197e-01	1.420000e+01	8.515842e-03	8.515842e-03	8.515842e-03	8.515842e-03	1.135792e-02	2.842079e-03	-1.135792e-02
1.429999999999997e+01	2.843258e+00	2.132444e+00	1.421629e+00	7.108145e-01	1.430000e+01	8.613484e-03	8.613484e-03	8.613484e-03	8.613484e-03	1.145674e-02	2.843258e-03	-1.145674e-02
1.439999999999997e+01	2.844425e+00	2.133319e+00	1.422212e+00	7.111062e-01	1.440000e+01	8.711151e-03	8.711151e-03	8.711151e-03	8.711151e-03	1.155557e-02	2.844425e-03	-1.155557e-02
1.449999999999997e+01	2.845578e+00	2.134184e+00	1.422789e+00	7.113946e-01	1.450000e+01	8.808843e-03	8.808843e-03	8.808843e-03	8.808843e-03	1.165442e-02	2.845579e-03	-1.165442e-02
1.459999999999997e+01	2.846720e+00	2.135040e+00	1.423360e+00	7.116800e-01	1.460000e+01	8.906560e-03	8.906560e-03	8.906560e-03	8.906560e-03	1.175328e-02	2.846720e-03	-1.175328e-02
1.469999999999997e+01	2.847849e+00	2.135887e+00	1.423925e+00	7.119623e-01	1.470000e+01	9.004301e-03	9.004301e-03	9.004301e-03	9.004301e-03	1.185215e-02	2.847849e-03	-1.185215e-02
1.479999999999997e+01	2.848966e+00	2.136725e+00	1.424483e+00	7.122416e-01	1.480000e+01	9.102067e-03	9.102067e-03	9.102067e-03	9.102067e-03	1.195103e-02	2.848966e-03	-1.195103e-02
1.489999999999996e+01	2.850072e+00	2.137554e+00	1.425036e+00	7.125180e-01	1.490000e+01	9.199856e-03	9.199856e-03	9.199856e-03	9.199856e-03	1.204993e-02	2.850072e-03	-1.204993e-02
1.500000000000000e+01	2.851166e+00	2.138375e+00	1.425583e+00	7.127916e-01	1.500000e+01	9.297668e-03	9.297668e-03	9.297668e-03	9.297668e-03	1.214883e-02	2.851166e-03	-1.214883e-02
