rl	V(nout)	V(n002)	V(n003)	V(n004)	V(n001)	I(D1)	I(D2)	I(D3)	I(D4)	I(Rs)	I(Rl)	I(Vs)
1.000000000000000e+02	9.090909e-01	6.818182e-01	4.545454e-01	2.272727e-01	1.000000e+01	6.569622e-11	6.569622e-11	6.569622e-11	6.569622e-11	9.090909e-03	9.090909e-03	-9.090909e-03
1.584893192461114e+02	1.368068e+00	1.026051e+00	6.840340e-01	3.420170e-01	1.000000e+01	5.530723e-09	5.530723e-09	5.530723e-09	5.530723e-09	8.631932e-03	8.631926e-03	-8.631932e-03
2.511886431509581e+02	2.007066e+00	1.505299e+00	1.003533e+00	5.017664e-01	1.000000e+01	2.661241e-06	2.661241e-06	2.661241e-06	2.661241e-06	7.992934e-03	7.990273e-03	-7.992934e-03
3.981071705534973e+02	2.604192e+00	1.953144e+00	1.302096e+00	6.510480e-01	1.000000e+01	8.543738e-04	8.543738e-04	8.543738e-04	8.543738e-04	7.395808e-03	6.541435e-03	-7.395808e-03
6.309573444801935e+02	2.731981e+00	2.048986e+00	1.365991e+00	6.829953e-01	1.000000e+01	2.938122e-03	2.938122e-03	2.938122e-03	2.938122e-03	7.268019e-03	4.329898e-03	-7.268019e-03
1.000000000000000e+03	2.774934e+00	2.081200e+00	1.387467e+00	6.937335e-01	1.000000e+01	4.450132e-03	4.450132e-03	4.450132e-03	4.450132e-03	7.225066e-03	2.774934e-03	-7.225066e-03
1.584893192461114e+03	2.795720e+00	2.096790e+00	1.397860e+00	6.989301e-01	1.000000e+01	5.440377e-03	5.440377e-03	5.440377e-03	5.440377e-03	7.204280e-03	1.763980e-03	-7.204280e-03
2.511886431509582e+03	2.807141e+00	2.105356e+00	1.403571e+00	7.017853e-01	1.000000e+01	6.075343e-03	6.075343e-03	6.075343e-03	6.075343e-03	7.192858e-03	1.117543e-03	-7.192858e-03
3.981071705534975e+03	2.813803e+00	2.110353e+00	1.406902e+00	7.034509e-01	1.000000e+01	6.479415e-03	6.479415e-03	6.479415e-03	6.479415e-03	7.186197e-03	7.067954e-04	-7.186197e-03
6.309573444801937e+03	2.817815e+00	2.113361e+00	1.408908e+00	7.044538e-01	1.000000e+01	6.735601e-03	6.735601e-03	6.735601e-03	6.735601e-03	7.182185e-03	4.465936e-04	-7.182185e-03
1.000000000000000e+04	2.820276e+00	2.115207e+00	1.410138e+00	7.050689e-01	1.000000e+01	6.897704e-03	6.897704e-03	6.897704e-03	6.897704e-03	7.179725e-03	2.820276e-04	-7.179725e-03
