v1	V(in)	V(out)	I(D1)	I(R1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-03	1.000000e-03	9.999987e-04	-1.380166e-12	-1.392582e-12	-1.380166e-12
2.000000000000000e-03	2.000000e-03	1.999997e-03	-2.735489e-12	-2.735489e-12	-2.735489e-12
3.000000000000000e-03	3.000000e-03	2.999996e-03	-4.066428e-12	-4.066428e-12	-4.066428e-12
4.000000000000000e-03	4.000000e-03	3.999995e-03	-5.373435e-12	-5.373435e-12	-5.373435e-12
5.000000000000000e-03	5.000000e-03	4.999993e-03	-6.656952e-12	-6.656952e-12	-6.656952e-12
6.000000000000000e-03	6.000000e-03	5.999992e-03	-7.917413e-12	-7.917413e-12	-7.917413e-12
7.000000000000000e-03	7.000000e-03	6.999991e-03	-9.155244e-12	-9.155244e-12	-9.155244e-12
8.000000000000000e-03	8.000000e-03	7.999989e-03	-1.037087e-11	-1.037087e-11	-1.037087e-11
9.000000000000001e-03	9.000000e-03	8.999988e-03	-1.156469e-11	-1.156469e-11	-1.156469e-11
1.000000000000000e-02	1.000000e-02	9.999988e-03	-1.273711e-11	-1.273711e-11	-1.273711e-11
1.100000000000000e-02	1.100000e-02	1.099999e-02	-1.388853e-11	-1.388853e-11	-1.388853e-11
1.200000000000000e-02	1.200000e-02	1.199999e-02	-1.501934e-11	-1.501934e-11	-1.501934e-11
1.300000000000000e-02	1.300000e-02	1.299998e-02	-1.612992e-11	-1.612992e-11	-1.612992e-11
1.400000000000001e-02	1.400000e-02	1.399998e-02	-1.722064e-11	-1.722064e-11	-1.722064e-11
1.500000000000001e-02	1.500000e-02	1.499998e-02	-1.829187e-11	-1.829187e-11	-1.829187e-11
1.600000000000001e-02	1.600000e-02	1.599998e-02	-1.934398e-11	-1.934398e-11	-1.934398e-11
1.700000000000001e-02	1.700000e-02	1.699998e-02	-2.037731e-11	-2.037731e-11	-2.037731e-11
1.800000000000001e-02	1.800000e-02	1.799998e-02	-2.139220e-11	-2.139220e-11	-2.139220e-11
1.900000000000001e-02	1.900000e-02	1.899998e-02	-2.238901e-11	-2.238901e-11	-2.238901e-11
2.000000000000001e-02	2.000000e-02	1.999998e-02	-2.336807e-11	-2.336807e-11	-2.336807e-11
2.100000000000001e-02	2.100000e-02	2.099998e-02	-2.432971e-11	-2.432971e-11	-2.432971e-11
2.200000000000001e-02	2.200000e-02	2.199997e-02	-2.527424e-11	-2.527424e-11	-2.527424e-11
