rl	V(in)	V(out)	I(D1)	I(R1)	I(R2)	I(V1)
1.000000000000000e+02	1.000000e+01	9.090909e-01	-1.050983e-10	-9.090909e-03	9.090909e-03	-9.090909e-03
1.584893192461114e+02	1.000000e+01	1.368069e+00	-1.329591e-10	-8.631931e-03	8.631931e-03	-8.631931e-03
2.511886431509581e+02	1.000000e+01	2.007600e+00	-4.561764e-10	-7.992400e-03	7.992400e-03	-7.992400e-03
3.981071705534973e+02	1.000000e+01	2.847468e+00	-1.501299e-08	-7.152532e-03	7.152517e-03	-7.152532e-03
6.309573444801935e+02	1.000000e+01	3.868035e+00	-1.542562e-06	-6.131965e-03	6.130422e-03	-6.131965e-03
1.000000000000000e+03	1.000000e+01	4.911294e+00	-1.774111e-04	-5.088706e-03	4.911294e-03	-5.088706e-03
1.584893192461114e+03	1.000000e+01	5.080697e+00	-1.713600e-03	-4.919303e-03	3.205703e-03	-4.919303e-03
2.511886431509582e+03	1.000000e+01	5.085804e+00	-2.889500e-03	-4.914196e-03	2.024695e-03	-4.914196e-03
3.981071705534975e+03	1.000000e+01	5.087959e+00	-3.634003e-03	-4.912041e-03	1.278038e-03	-4.912041e-03
6.309573444801937e+03	1.000000e+01	5.089096e+00	-4.104337e-03	-4.910904e-03	8.065673e-04	-4.910904e-03
1.000000000000000e+04	1.000000e+01	5.089747e+00	-4.401278e-03	-4.910253e-03	5.089747e-04	-4.910253e-03
